Entity,Code,Year,GDP per Capita,Region,Population,Outdoor air pollution,High systolic blood pressure,Diet high in sodium,Diet low in whole grains,Alcohol use,Diet low in fruits,Unsafe water source,Secondhand smoke,Low birth weight,Child wasting,Unsafe sex,Diet low in nuts and seeds,Household air pollution from solid fuels,Diet low in vegetables,Low physical activity,Smoking,High fasting plasma glucose,Air pollution,High body-mass index,Unsafe sanitation,No access to handwashing facility,Drug use,Low bone mineral density,Vitamin A deficiency,Child stunting,Discontinued breastfeeding,Non-exclusive breastfeeding,Iron deficiency
Netherlands,NLD,2019,52448,Europe,17097130,4998,22941,1618,4443,7565,1722,10,1799,234,130,424,578,6,1328,1716,31530,14101,4970,11692,6,70,658,2365,0,0,0,2,1
New Zealand,NZL,2019,42084,Oceania,4783063,333,5970,430,1306,1352,406,13,347,86,16,97,145,3,341,918,4792,3414,334,3626,3,20,271,381,0,0,0,1,1
Nicaragua,NIC,2019,1913,Americas,6545502,1034,6547,961,814,1706,709,136,484,530,327,910,280,1735,578,191,1645,5973,2760,4342,85,106,104,196,0,28,4,51,6
Niger,NER,2019,555,Africa,23310715,3128,10655,990,1341,1041,1571,24716,1429,23541,37197,2319,23,26507,763,396,1982,5728,29505,3665,19008,14012,73,457,3647,9676,350,4771,809
Nigeria,NGA,2019,2230,Africa,200963599,70181,114125,8034,13981,45888,9743,157292,9917,187666,192437,68152,313,128259,6637,5345,17350,57698,197567,47586,103241,96521,12463,3922,2372,43324,1378,36925,4308
North Macedonia,MKD,2019,6093,Europe,2083459,2771,8394,2615,1401,972,398,2,890,100,7,98,142,535,51,448,5307,5861,3301,4676,1,2,122,84,0,1,0,2,0
Norway,NOR,2019,75420,Europe,5378857,454,6766,454,1555,1263,400,8,431,36,94,151,357,1,442,934,4818,4753,454,2781,4,26,385,736,0,0,0,0,0
Oman,OMN,2019,15474,Asia,4974986,1576,2996,108,713,67,78,21,305,283,30,100,336,6,127,538,812,2367,1576,2417,1,23,72,139,0,3,0,4,2
Pakistan,PAK,2019,1285,Asia,216565318,124913,220698,24191,54778,18214,29182,65455,30919,209471,60151,4505,17707,116090,24682,16293,134289,145454,235657,101135,30881,23033,8583,3302,339,11209,777,8756,3646
Palau,PLW,2019,16736,Oceania,18008,5,43,7,10,3,5,1,11,1,1,5,0,0,5,5,30,56,5,49,0,0,1,1,0,0,0,0,0
Panama,PAN,2019,15731,Americas,4246439,672,3506,532,416,866,282,111,198,291,220,718,106,154,281,129,1182,3485,823,2264,55,67,69,101,0,16,3,29,8
Papua New Guinea,PNG,2019,2845,Oceania,8776109,1183,6727,1274,1875,574,1361,2620,2581,3956,4463,3565,372,11169,1013,616,7155,10171,12351,5008,1984,1350,299,352,65,1143,36,441,176
Paraguay,PRY,2019,5415,Americas,7044636,1099,6565,817,937,2133,352,112,689,414,394,846,145,1194,535,480,4411,5755,2284,4820,50,139,195,242,1,11,3,37,18
Peru,PER,2019,6978,Americas,32510453,8997,19059,2712,2988,6740,1430,732,1192,3002,1599,3760,1196,2439,1485,1492,4489,13289,11414,14355,487,1583,547,968,3,119,8,94,66
Philippines,PHL,2019,3485,Asia,108116615,32138,127060,28264,15316,39802,9379,6654,21669,20872,11838,7212,1837,42675,10317,2727,95587,84253,74783,65200,1968,4622,1174,2314,285,1849,103,1292,270
Poland,POL,2019,15595,Europe,37887768,28426,90656,21621,20129,26320,8726,76,7774,486,134,2214,9126,2808,1825,9118,77669,62956,31119,57514,16,120,1826,2912,0,4,0,7,2
Portugal,PRT,2019,23145,Europe,10226187,2391,19637,1399,3580,7242,1148,24,1771,76,130,792,782,34,387,3448,12134,17739,2411,10091,25,93,600,745,0,0,0,2,0
Puerto Rico,PRI,2019,32874,Americas,2933408,434,5976,505,1170,1380,321,68,408,92,107,316,42,1,494,1155,2789,7146,434,5829,4,93,108,219,0,0,0,2,1
Qatar,QAT,2019,64782,Asia,2832067,548,726,31,222,75,14,2,117,76,5,12,28,0,3,163,418,842,545,963,0,3,39,51,0,0,0,1,1
Romania,ROU,2019,12920,Europe,19364557,14723,94376,27797,12934,19601,5119,38,6243,412,257,1967,6337,2434,338,6485,38999,27140,17138,42107,24,79,2263,870,0,23,1,50,3
Russia,RUS,2019,11585,Europe,145872256,75166,557781,62595,115639,154181,47586,161,35693,2530,883,15214,43529,2448,27048,41346,291357,196912,77516,283793,121,724,26479,6163,0,82,10,160,25
Rwanda,RWA,2019,802,Africa,12626950,1900,7159,1271,865,5223,28,3055,555,3971,3186,3702,232,7468,745,124,4959,4579,9286,3082,2259,2533,82,385,49,503,13,102,137
Saint Kitts and Nevis,KNA,2019,19896,Americas,52823,11,106,8,16,26,13,2,7,5,4,30,2,1,7,12,25,94,12,80,0,2,2,2,0,0,0,0,0
Saint Lucia,LCA,2019,11611,Americas,182790,80,276,23,44,86,18,3,16,14,6,21,4,5,20,40,106,290,85,199,1,4,3,7,0,0,0,0,0
Saint Vincent and the Grenadines,VCT,2019,7464,Americas,110589,62,215,18,39,56,10,3,15,11,8,29,2,4,17,35,62,236,67,162,1,4,2,5,0,0,0,0,0
Samoa,WSM,2019,4316,Oceania,197097,42,317,20,70,26,39,7,66,14,8,21,1,139,43,37,234,341,181,282,1,2,9,6,1,1,0,0,0
San Marino,SMR,2019,47280,Europe,33860,7,52,4,10,16,3,0,3,0,0,1,1,0,2,7,42,32,7,26,0,0,1,2,0,0,0,0,0
Sao Tome and Principe,STP,2019,1995,Africa,215056,55,198,16,28,65,7,9,6,38,17,17,1,87,18,7,44,95,140,98,5,22,1,7,0,2,0,1,1
Saudi Arabia,SAU,2019,23140,Asia,34268528,18105,28995,1165,7131,722,2314,151,4037,799,123,617,2546,37,1823,6143,12271,19543,18036,28039,20,218,722,2335,0,6,1,11,28
Senegal,SEN,2019,1447,Africa,16296364,3467,11500,983,1366,1042,1435,5348,1513,8672,3896,2273,54,9075,851,661,3108,7931,12483,5265,3821,3125,88,432,93,441,41,623,424
Serbia,SRB,2019,7402,Europe,8772235,10721,39546,11687,6362,5066,1458,14,3480,142,19,667,1786,1969,1425,2375,24350,25625,12668,19161,4,16,598,414,0,1,0,3,1
Seychelles,SYC,2019,17402,Africa,97739,35,178,30,20,57,11,4,19,6,3,12,3,0,13,9,106,121,36,88,1,3,7,3,0,0,0,0,0
Sierra Leone,SLE,2019,504,Africa,7813215,1591,6471,530,678,1904,715,3250,832,5600,4940,2999,15,7813,558,244,2225,2495,9371,2064,2372,2853,70,215,61,790,22,531,301
Singapore,SGP,2019,65233,Asia,5804337,1378,3475,870,674,307,180,5,296,26,6,140,188,2,113,373,2814,2350,1374,1777,1,67,156,91,0,0,0,1,0
Slovakia,SVK,2019,19329,Europe,5457013,3549,15955,4852,3457,3493,1335,4,1280,102,21,246,903,34,763,1212,8225,7079,3573,8779,1,16,366,376,0,2,0,3,0
Slovenia,SVN,2019,25739,Europe,2078654,886,4586,1397,624,1115,174,1,344,13,1,64,151,62,176,297,2980,2020,940,2605,0,6,169,322,0,0,0,0,0
Solomon Islands,SLB,2019,2128,Oceania,669823,109,951,176,284,59,209,183,272,107,102,91,62,1211,232,82,1026,1192,1320,970,144,42,41,26,3,14,1,8,11
South Africa,ZAF,2019,6001,Africa,58558270,25381,61473,3290,5243,27060,8375,9506,7297,15633,7157,136978,3773,4590,3900,5961,32836,54459,29830,55365,5401,7428,5486,1821,74,850,190,1571,298
